Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,90s,Gols,TC,CaG,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PB,PT,Partidas,-9999
501,Nicolás Sosa,uy URU,AT,Banfield,26-316,1996,1.8,0,3,0,00,164,000,000,,,0,0,Partidas,cf402a8b
502,Ramón Sosa,py PAR,LT,Talleres,23-169,1999,2.0,0,2,1,500,101,050,000,000,,0,0,Partidas,2d3417a1
503,Sebastián Sosa,uy URU,AT,Banfield,28-340,1994,1.1,0,4,1,250,353,088,000,000,,0,0,Partidas,082d1db5
504,Alexis Soto,ar ARG,ZG,Defensa y Just,29-119,1993,2.9,0,3,0,00,103,000,000,,,0,0,Partidas,c20a7043
505,Guillermo Soto,cl CHI,ZG,CA Huracán,29-037,1994,3.0,0,1,0,00,033,000,000,,,0,0,Partidas,42cdf326
506,Lucas Souto,ar ARG,ZG,Arsenal,24-128,1998,3.0,0,3,0,00,100,000,000,,,0,0,Partidas,ca39d38f
507,Adrián Sporle,ar ARG,ZG,Arsenal,27-218,1995,2.5,0,1,1,1000,040,040,000,000,,0,0,Partidas,f5122c46
508,Alexis Steimbach,ar ARG,LT,Gimnasia ELP,20-206,2002,1.3,0,2,2,1000,153,153,000,000,,0,0,Partidas,95f77284
509,Gastón Suso,ar ARG,ZG,Platense,31-341,1991,3.0,0,0,0,,000,000,,,,0,0,Partidas,9c1b0d34
510,Joaquín Susvielles,ar ARG,AT,Club Atlético Belgrano,31-353,1991,0.1,0,0,0,,000,000,,,,0,0,Partidas,2cfc5d0c
511,Vicente Taborda,ar ARG,LT,Platense,21-245,2001,2.8,0,3,0,00,108,000,000,,,0,0,Partidas,52f2d47d
512,Iván Tapia,ar ARG,LT,Barracas Central,24-085,1998,3.0,1,7,3,429,235,101,000,000,,1,1,Partidas,1e594292
513,Cristian Tarragona,ar ARG,AT,Gimnasia ELP,31-313,1991,0.5,0,0,0,,000,000,,,,0,0,Partidas,a5ac5b47
514,Renzo Tesuri,ar ARG,LT,Tucumán,26-254,1996,1.5,0,1,0,00,068,000,000,,,0,0,Partidas,1bc771b3
515,Andrew Teuten,uy URU,ZG,Colón,24-211,1998,2.1,0,1,1,1000,048,048,000,000,,0,0,Partidas,e2a379e3
516,Horacio Tijanovich,ar ARG,LT,Banfield,26-353,1996,1.1,0,1,0,00,090,000,000,,,0,0,Partidas,1607fa35
517,Fernando Tobio,ar ARG,ZG,CA Huracán,33-121,1989,3.0,1,4,1,250,133,033,025,100,,0,0,Partidas,4958ceac
518,Gastón Togni,ar ARG,LT,Defensa y Just,25-149,1997,0.9,0,2,1,500,217,108,000,000,,0,0,Partidas,ba1f3f64
519,Javier Toledo,ar ARG,AT,Sarmiento,36-302,1986,1.6,1,4,2,500,252,126,000,000,,1,1,Partidas,50ab439c
520,Santiago Toloza,ar ARG,LT,Arsenal,20-111,2002,1.8,1,3,3,1000,168,168,033,033,,0,0,Partidas,1961c843
521,Gerónimo Tomasetti,ar ARG,LT,Club Atlético Belgrano,22-280,2000,0.3,0,1,0,00,300,000,000,,,0,0,Partidas,f408333b
522,Cristian Torres,ar ARG,AT,CC Córdoba,23-054,1999,0.7,0,1,1,1000,143,143,000,000,,0,0,Partidas,ee3af1c7
523,Franco Torres,ar ARG,AT,Gimnasia ELP,23-267,1999,0.2,0,2,0,00,1000,000,000,,,0,0,Partidas,811f1370
524,Nicolás Tripichio,ar ARG,ZG,Defensa y Just,27-042,1996,1.2,0,1,0,00,082,000,000,,,0,0,Partidas,4c3e3d0a
