Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,90s,Gols,TC,CaG,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PB,PT,Partidas,-9999
94,Brian Calderara,ar ARG,LT,Barracas Central,24-139,1998,2.1,0,2,0,00,095,000,000,,,0,0,Partidas,0b135483
95,Franco Calderón,ar ARG,ZG,CA Unión,24-279,1998,3.0,0,2,1,500,067,033,000,000,,0,0,Partidas,838dea0a
96,Facundo Cambeses,ar ARG,G,Banfield,25-313,1997,3.0,0,0,0,,000,000,,,,0,0,Partidas,0a7c2b06
97,Gastón Campi,ar ARG,ZG,San Lorenzo,31-316,1991,0.5,0,0,0,,000,000,,,,0,0,Partidas,74223a01
98,Jhonatan Candia,uy URU,AT,Rosario Cent,27-338,1995,2.5,2,6,2,333,242,081,033,100,,0,0,Partidas,a62813d2
99,Ezequiel Cañete,ar ARG,LT,CA Unión,23-244,1999,0.4,0,0,0,,000,000,,,,0,0,Partidas,f53eb86a
100,Alan Cantero,ar ARG,AT,Barracas Central,24-233,1998,0.3,0,0,0,,000,000,,,,0,0,Partidas,a2232656
101,Gustavo Canto,ar ARG,ZG,CC Córdoba,28-356,1994,3.0,0,0,0,,000,000,,,,0,0,Partidas,b5354c19
102,Nicolás Capraro,ar ARG,ZG,Barracas Central,24-350,1998,3.0,0,2,0,00,067,000,000,,,0,0,Partidas,d64d46e4
103,Johan Carbonero,co COL,AT,Racing Club,23-211,1999,1.2,0,1,0,00,083,000,000,,,0,0,Partidas,9eca9710
104,Edwin Cardona,co COL,ATLT,Racing Club,30-070,1992,0.3,0,1,0,00,360,000,000,,,0,0,Partidas,e82b25f5
105,Tomás Cardona,ar ARG,ZG,Defensa y Just,27-129,1995,2.6,0,0,0,,000,000,,,,0,0,Partidas,e5cabba3
106,Agustín Cardozo,ar ARG,LT,Tigre,25-262,1997,0.7,0,1,1,1000,145,145,000,000,,0,0,Partidas,1b677f5e
107,Facundo Cardozo,ar ARG,ZG,Arsenal,27-316,1995,0.6,0,0,0,,000,000,,,,0,0,Partidas,f46a45b3
108,Jorge Carranza,ar ARG,G,Instituto Atlético Central Córdoba,41-285,1981,3.0,0,0,0,,000,000,,,,0,0,Partidas,bd5c46c3
109,Guido Carrillo,ar ARG,AT,Estudiantes,31-267,1991,1.7,0,3,1,333,174,058,000,000,,0,0,Partidas,8f898ba8
110,Lucas Carrizo,ar ARG,ZG,CA Huracán,25-272,1997,0.0,0,0,0,,000,000,,,,0,0,Partidas,2bfc68c3
111,Milton Casco,ar ARG,ZG,River Plate,34-311,1988,2.8,0,2,0,00,072,000,000,,,0,0,Partidas,7dc4f16a
112,Gonzalo Castellani,ar ARG,LT,Defensa y Just,35-190,1987,0.0,0,0,0,,000,000,,,,0,0,Partidas,a089163c
113,Facundo Castelli,ar ARG,AT,CC Córdoba,27-363,1995,2.9,0,6,2,333,207,069,000,000,,0,1,Partidas,438ed5c6
114,Rodrigo Castillo,ar ARG,AT,Gimnasia ELP,23-355,1999,2.4,0,3,1,333,124,041,000,000,,0,0,Partidas,da71df54
115,Bryan Castrillón,co COL,ATLT,CA Unión,23-323,1999,0.3,0,1,1,1000,290,290,000,000,,0,0,Partidas,c7d333ec
116,Alexis Castro,ar ARG,LT,Tigre,28-121,1994,2.8,0,4,2,500,143,072,000,000,,0,0,Partidas,94e40a9f
117,Nicolás Castro,ar ARG,LT,Platense,32-185,1990,2.4,1,1,1,1000,042,042,100,100,,0,0,Partidas,d016a159
118,Santiago Castro,ar ARG,AT,Vélez Sarsf,18-140,2004,0.5,0,2,0,00,409,000,000,,,0,0,Partidas,ee5565ae
119,Matías Catalán,ar ARG,ZG,Talleres,30-181,1992,2.0,0,2,0,00,100,000,000,,,0,0,Partidas,e7eab8e7
120,Martín Cauteruccio,uy URU,AT,Independiente,35-308,1987,0.8,1,3,1,333,386,129,000,000,,1,1,Partidas,6e7d7a7a
121,Juan Cazares,ec ECU,LT,Independiente,30-319,1992,2.0,0,5,1,200,246,049,000,000,,0,0,Partidas,754368cb
122,Maximiliano Centurión,ar ARG,ZG,Arsenal,23-361,1999,2.9,0,0,0,,000,000,,,,0,0,Partidas,2bea0550
123,Ricardo Centurión,ar ARG,ATLT,Barracas Central,30-028,1993,0.2,0,1,1,1000,474,474,000,000,,0,0,Partidas,fac896b0
124,Giuliano Cerato,ar ARG,ZG,Instituto Atlético Central Córdoba,24-251,1998,3.0,0,4,0,00,133,000,000,,,0,0,Partidas,f88ec6d6
125,Ezequiel Cerutti,ar ARG,LTAT,San Lorenzo,31-030,1992,1.5,0,3,1,333,200,067,000,000,,0,0,Partidas,635c9552
126,Andrés Chávez,ar ARG,AT,Banfield,31-332,1991,2.4,1,10,3,300,423,127,010,033,,0,0,Partidas,3e3ee8f7
127,Lucas Chávez,ar ARG,G,CA Huracán,27-191,1995,3.0,0,0,0,,000,000,,,,0,0,Partidas,47e44704
128,Ignacio Chicco,ar ARG,G,Colón,26-231,1996,3.0,0,0,0,,000,000,,,,0,0,Partidas,3723f64a
129,Julián Chicco,ar ARG,LT,Colón,25-034,1998,1.6,0,4,0,00,250,000,000,,,0,0,Partidas,92dacb99
130,Leandro Ciccoloni,ar ARG,LT,CC Córdoba,27-300,1995,0.5,0,0,0,,000,000,,,,0,0,Partidas,9fc38fed
131,Luciano Cingolani,ar ARG,AT,Godoy Cruz,21-257,2001,0.2,0,0,0,,000,000,,,,0,0,Partidas,93f1acf1
132,Matías Cóccaro,uy URU,AT,CA Huracán,25-093,1997,2.6,0,5,3,600,189,113,000,000,,0,0,Partidas,caed0767
133,Nicolás Colazo,ar ARG,ZGLT,Gimnasia ELP,32-223,1990,0.2,0,0,0,,000,000,,,,0,0,Partidas,161b89a2
134,Facundo Colidio,ar ARG,LT,Tigre,23-043,2000,2.9,1,7,3,429,239,102,014,033,,0,0,Partidas,69a6523a
135,Nazareno Colombo,ar ARG,ZG,Defensa y Just,23-333,1999,3.0,0,0,0,,000,000,,,,0,0,Partidas,8127de9b
136,Maximiliano Comba,ar ARG,LT,Gimnasia ELP,29-031,1994,1.2,0,1,0,00,087,000,000,,,0,0,Partidas,f3f7f222
137,Gabriel Compagnucci,ar ARG,ZG,Club Atlético Belgrano,31-171,1991,3.0,0,2,0,00,067,000,000,,,0,0,Partidas,9d3e62ff
138,Tomás Conechny,ar ARG,ATLT,Godoy Cruz,24-323,1998,3.0,0,7,1,143,233,033,000,000,,0,0,Partidas,f61143dd
139,Leandro Contín,ar ARG,AT,Gimnasia ELP,27-071,1995,0.3,0,0,0,,000,000,,,,0,0,Partidas,890901f1
140,Sebastián Corda,ar ARG,ZG,Instituto Atlético Central Córdoba,27-232,1995,3.0,0,3,0,00,100,000,000,,,0,0,Partidas,b770cb5c
141,Nicolás Cordero,ar ARG,AT,CA Huracán,23-311,1999,1.9,2,9,6,667,463,309,022,033,,0,0,Partidas,78f10ec0
142,Emanuel Coronel,ar ARG,ZG,Banfield,26-015,1997,3.0,0,7,1,143,233,033,000,000,,0,0,Partidas,e5aa6459
143,Mateo Coronel,ar ARG,AT,Tucumán,24-115,1998,2.6,0,6,2,333,230,077,000,000,,0,0,Partidas,52e8ada7
144,Claudio Corvalán,ar ARG,ZG,CA Unión,33-330,1989,3.0,0,0,0,,000,000,,,,0,0,Partidas,8cd70adc
145,Ayrton Costa,ar ARG,ZG,Independiente,23-219,1999,3.0,0,6,1,167,200,033,000,000,,0,0,Partidas,3f831989
146,Juan Cruz Kaprof,ar ARG,AT,Sarmiento,27-341,1995,0.1,0,0,0,,000,000,,,,0,0,Partidas,4b27cda8
147,Juan Cruz Komar,ar ARG,ZG,Rosario Cent,26-187,1996,2.2,1,1,1,1000,046,046,100,100,,0,0,Partidas,f4480f5b
148,Brian Cuello,ar ARG,LT,Instituto Atlético Central Córdoba,25-139,1997,0.6,0,0,0,,000,000,,,,0,0,Partidas,f22503a8
149,Mauricio Cuero,co COL,ATLT,Independiente,30-019,1993,0.1,0,0,0,,000,000,,,,0,0,Partidas,7e03c92a
150,Jonathan David Gómez,ar ARG,AT,Racing Club,33-057,1989,1.5,0,3,0,00,205,000,000,,,0,0,Partidas,c911d311
151,Hernán De La Fuente,ar ARG,ZG,Tucumán,26-040,1997,2.9,0,2,0,00,069,000,000,,,0,0,Partidas,035db54d
152,Pedro De la Vega,ar ARG,LTAT,Lanús,22-009,2001,2.6,1,4,1,250,153,038,025,100,,0,0,Partidas,ef6e8c5b
153,Jonathan Dellarossa,ar ARG,LT,Instituto Atlético Central Córdoba,23-029,2000,0.1,0,1,0,00,1000,000,000,,,0,0,Partidas,850f3b42
154,Valentín Depietri,ar ARG,LTAT,Talleres,22-108,2000,1.3,0,2,0,00,149,000,000,,,0,0,Partidas,d02cb5d7
155,Andrés Desábato,ar ARG,G,Barracas Central,32-323,1990,3.0,0,0,0,,000,000,,,,0,0,Partidas,bf3b5c92
156,Francisco Di Franco,ar ARG,LT,Tucumán,28-019,1995,1.8,0,1,0,00,055,000,000,,,0,0,Partidas,356bf6af
157,Alan Di Pippa,ar ARG,LT,Banfield,22-245,2000,0.4,0,1,0,00,250,000,000,,,0,0,Partidas,12975989
158,Leonel Di Plácido,ar ARG,ZG,Lanús,29-019,1994,1.7,0,0,0,,000,000,,,,0,0,Partidas,a5e7e6dd
159,Lucas Diarte,ar ARG,ZG,Club Atlético Belgrano,29-257,1993,2.6,0,0,0,,000,000,,,,0,0,Partidas,0e79a58c
160,Enzo Díaz,ar ARG,ZG,River Plate,27-071,1995,2.0,0,0,0,,000,000,,,,0,0,Partidas,411d2dc0
161,Franco Díaz,ar ARG,LT,Platense,22-172,2000,0.3,0,0,0,,000,000,,,,0,0,Partidas,a8150001
162,Leandro Díaz,ar ARG,AT,Lanús,30-255,1992,2.6,1,7,2,286,268,077,000,000,,1,1,Partidas,3fee512a
163,Willer Ditta,co COL,ZG,Newell's OB,26-024,1997,3.0,0,0,0,,000,000,,,,0,0,Partidas,95c2f969
164,Jerónimo Domina,ar ARG,AT,CA Unión,17-122,2005,0.7,0,2,0,00,281,000,000,,,0,0,Partidas,25da3c90
165,Alexis Dominguez,ar ARG,AT,Barracas Central,26-109,1996,0.7,0,2,0,00,281,000,000,,,0,0,Partidas,55facc6c
166,Benjamín Domínguez,ar ARG,AT,Gimnasia ELP,19-150,2003,1.3,0,2,0,00,151,000,000,,,0,0,Partidas,a83b47fa
167,Fabricio Domínguez,uy URU,LT,Argentinos Jun,24-237,1998,0.7,0,1,0,00,148,000,000,,,0,0,Partidas,2798cc56
168,Jose Domínguez,py PAR,ZG,Lanús,26-211,1996,3.0,1,1,1,1000,033,033,100,100,,0,0,Partidas,97d24b73
169,Tomás Durso,ar ARG,G,Gimnasia ELP,23-355,1999,3.0,0,0,0,,000,000,,,,0,0,Partidas,a7245aa0
170,Jorge Eduardo Recalde,py PAR,ATLT,Newell's OB,30-284,1992,0.7,0,2,0,00,273,000,000,,,0,0,Partidas,8690c0b1
171,Jalil Elías,ar ARG,LT,San Lorenzo,26-297,1996,3.0,0,2,0,00,067,000,000,,,0,0,Partidas,ffab97dd
172,Edgar Elizalde,uy URU,ZG,Independiente,22-354,2000,2.1,0,2,0,00,095,000,000,,,0,0,Partidas,f2950f57
173,Guillermo Enrique,ar ARG,ZG,Gimnasia ELP,22-357,2000,3.0,1,4,2,500,133,067,025,050,,0,0,Partidas,4d26ae2d
174,Lautaro Escalante,ar ARG,LT,Defensa y Just,23-229,1999,1.2,0,0,0,,000,000,,,,0,0,Partidas,d4032251
175,Lucas Esquivel,ar ARG,ZG,CA Unión,21-125,2001,2.0,0,3,1,333,150,050,000,000,,0,0,Partidas,404169c2
176,Matías Esquivel,ar ARG,LTAT,Lanús,23-331,1999,2.1,1,5,1,200,238,048,020,100,,0,0,Partidas,fdfee538
177,Marcelo Estigarribia,ar ARG,AT,Tucumán,27-282,1995,2.4,1,7,4,571,288,164,014,025,,0,0,Partidas,d535f426
178,Yair Ezequiel Arismendi,ar ARG,LT,Sarmiento,24-317,1998,1.3,0,0,0,,000,000,,,,0,0,Partidas,9438188a
179,Frank Fabra,co COL,ZG,Boca Juniors,31-359,1991,2.0,0,0,0,,000,000,,,,0,0,Partidas,feccb595
180,Kevin Facundo Gutiérrez,ar ARG,LT,Defensa y Just,25-258,1997,3.0,1,4,1,250,133,033,025,100,,0,0,Partidas,b9412d9e
181,Brian Farioli,ar ARG,LT,CC Córdoba,24-362,1998,2.2,0,3,1,333,138,046,000,000,,0,0,Partidas,acbef1bb
182,Federico Fattori,ar ARG,LT,CA Huracán,30-209,1992,3.0,0,1,0,00,033,000,000,,,0,0,Partidas,80373bb5
183,Damián Fernández,ar ARG,ZG,Vélez Sarsf,22-045,2001,0.0,0,0,0,,000,000,,,,0,0,Partidas,a15750e1
184,Ignacio Fernández,ar ARG,LT,Boca Juniors,20-206,2002,0.9,0,1,0,00,106,000,000,,,0,0,Partidas,319857df
185,Ignacio Fernández,ar ARG,LT,River Plate,33-035,1990,2.9,2,6,2,333,206,069,033,100,,0,0,Partidas,97a17c0b
186,Julián Fernández,ar ARG,LT,Lanús,27-300,1995,1.5,0,1,1,1000,065,065,000,000,,0,0,Partidas,88d268c8
187,Julián Fernández,ar ARG,LT,Vélez Sarsf,19-044,2004,0.5,0,1,0,00,184,000,000,,,0,0,Partidas,83572e83
188,Nicolás Fernández,ar ARG,AT,Defensa y Just,27-008,1996,2.8,2,8,4,500,289,145,013,025,,1,1,Partidas,31d73bbd
189,Tomás Fernández,ar ARG,ZG,Gimnasia ELP,23-274,1999,0.2,0,0,0,,000,000,,,,0,0,Partidas,d8e12d99
190,Juan Fernando Garro,ar ARG,ATLT,CA Huracán,30-084,1992,0.3,0,1,1,1000,360,360,000,000,,0,0,Partidas,6009bf94
191,Gianluca Ferrari,ar ARG,ZG,Godoy Cruz,25-231,1997,2.5,0,2,0,00,081,000,000,,,0,0,Partidas,09e1d2b1
192,Cristian Ferreira,ar ARG,LT,Newell's OB,23-157,1999,0.4,0,1,0,00,257,000,000,,,0,0,Partidas,f088e129
193,Héctor Fértoli,ar ARG,ATLT,Racing Club,28-075,1994,0.2,0,0,0,,000,000,,,,0,0,Partidas,54328474
194,Jorge Figal,ar ARG,ZG,Boca Juniors,28-319,1994,3.0,0,2,1,500,067,033,000,000,,0,0,Partidas,91e44066
195,Jose Florentín,py PAR,LT,Vélez Sarsf,26-226,1996,3.0,0,6,0,00,200,000,000,,,0,0,Partidas,c5510535
196,Gonzalo Flores,ar ARG,AT,Tigre,20-359,2002,0.0,0,0,0,,000,000,,,,0,0,Partidas,e7ba6063
197,Alan Franco,ec ECU,LT,Talleres,24-179,1998,2.0,0,1,0,00,050,000,000,,,0,0,Partidas,c76b161b
198,Nazareno Funez,ar ARG,AT,Newell's OB,21-259,2001,0.4,0,0,0,,000,000,,,,0,0,Partidas,29d08c06
199,Santiago Gabriel,ar ARG,ZG,Argentinos Jun,22-086,2000,0.2,0,0,0,,000,000,,,,0,0,Partidas,8f2ac304
200,Thomas Galdames,cl CHI,LTZG,Godoy Cruz,24-088,1998,1.8,0,1,0,00,056,000,000,,,0,0,Partidas,9e635406
201,Jonatan Gallardo,ar ARG,LT,Sarmiento,25-353,1997,0.5,0,1,0,00,187,000,000,,,0,0,Partidas,f34629ab
202,Jonathan Galván,ar ARG,ZG,Racing Club,30-236,1992,1.0,0,0,0,,000,000,,,,0,0,Partidas,f865dc98
203,Tomás Galván,ar ARG,LT,Colón,22-311,2000,0.5,0,1,0,00,205,000,000,,,0,0,Partidas,e699d3db
204,Lucas Gamba,ar ARG,ATLT,CC Córdoba,35-237,1987,2.1,0,3,0,00,143,000,000,,,0,0,Partidas,ca252a8a
205,Martin Garay,ar ARG,ZG,Tigre,23-249,1999,0.1,0,0,0,,000,000,,,,0,0,Partidas,57148654
206,Nicolás Garayalde,ar ARG,LT,Vélez Sarsf,23-210,1999,2.7,0,0,0,,000,000,,,,0,0,Partidas,32b8ceeb
207,Facundo Garcés,ar ARG,ZG,Colón,23-164,1999,3.0,0,2,0,00,067,000,000,,,0,0,Partidas,20c88f8f
208,Manuel García,ar ARG,ZG,Sarmiento,23-250,1999,1.0,0,0,0,,000,000,,,,0,0,Partidas,64b184ac
209,Matías García,ar ARG,LT,Club Atlético Belgrano,31-117,1991,0.8,0,1,0,00,130,000,000,,,0,0,Partidas,91e7fc9a
210,Ignacio Gariglio,ar ARG,ZG,Arsenal,24-297,1998,3.0,0,0,0,,000,000,,,,0,0,Partidas,d48edda3
211,Rodrigo Garro,ar ARG,LT,Talleres,25-043,1998,2.1,0,2,0,00,097,000,000,,,0,0,Partidas,42b3b51f
212,Federico Gattoni,ar ARG,ZG,San Lorenzo,24-000,1999,1.0,0,1,0,00,100,000,000,,,0,0,Partidas,86087757
213,Juan Gauto,ar ARG,LT,CA Huracán,18-259,2004,1.0,0,1,0,00,105,000,000,,,0,0,Partidas,1a0de1bd
214,Francisco Gerometta,ar ARG,ZG,CA Unión,23-168,1999,0.4,0,1,0,00,265,000,000,,,0,0,Partidas,70e92629
215,Lautaro Gianetti,ar ARG,ZG,Vélez Sarsf,29-095,1993,2.0,0,1,1,1000,050,050,000,000,,0,0,Partidas,e08ac719
216,Justo Giani,ar ARG,AT,Newell's OB,23-315,1999,0.0,0,1,0,00,9000,000,000,,,0,0,Partidas,c06407ce
217,Matías Giménez,ar ARG,AT,Independiente,23-347,1999,2.4,0,5,1,200,205,041,000,000,,0,0,Partidas,966e3b08
218,Erik Godoy,ar ARG,ZG,Club Atlético Belgrano,29-184,1993,3.0,0,1,0,00,033,000,000,,,0,0,Partidas,e8b80334
219,Leonardo Godoy,ar ARG,ZG,Estudiantes,27-294,1995,2.0,0,1,0,00,050,000,000,,,0,0,Partidas,0f9d8e45
220,Matías Godoy,ar ARG,LTAT,Estudiantes,21-037,2002,2.3,1,3,1,333,130,043,033,100,,0,0,Partidas,0085841a
221,Paolo Goltz,ar ARG,ZG,Colón,37-280,1985,3.0,0,4,3,750,133,100,000,000,,0,0,Partidas,815da2cb
222,Iván Gómez,ar ARG,LT,Newell's OB,25-353,1997,2.9,0,1,1,1000,035,035,000,000,,0,0,Partidas,426ec996
223,Luciano Gómez,ar ARG,ZG,Independiente,26-331,1996,0.1,0,0,0,,000,000,,,,0,0,Partidas,0bc8cd45
224,Valentín Gómez,ar ARG,ZG,Vélez Sarsf,19-235,2003,1.0,0,0,0,,000,000,,,,0,0,Partidas,0394c2ee
225,Luciano Gondou,ar ARG,AT,Sarmiento,21-239,2001,2.7,4,7,6,857,260,223,029,033,,2,2,Partidas,a09727b9
226,David González,ar ARG,LT,Lanús,18-288,2004,0.0,0,0,0,,000,000,,,,0,0,Partidas,ab3ff6e2
227,Francisco González,ar ARG,LTAT,Newell's OB,21-316,2001,1.7,1,2,2,1000,115,115,050,050,,0,0,Partidas,d266af3b
228,Francisco González,ar ARG,LTAT,Argentinos Jun,25-324,1997,1.6,0,3,2,667,186,124,000,000,,0,0,Partidas,d454a739
229,Marcelo González,py PAR,LT,Tucumán,26-265,1996,0.4,0,1,0,00,257,000,000,,,0,0,Partidas,5a906ce0
230,Yeison Gordillo,co COL,LT,CA Unión,30-236,1992,1.5,0,2,0,00,133,000,000,,,0,0,Partidas,8f2ed127
231,Gabriel Graciani,ar ARG,LT,Instituto Atlético Central Córdoba,29-080,1993,2.9,1,4,1,250,138,034,025,100,,0,0,Partidas,cfc3b3b7
232,Juan Guasone,ar ARG,ZG,Estudiantes,21-326,2001,0.7,0,0,0,,000,000,,,,0,0,Partidas,5d59f2af
233,Gabriel Gudiño,ar ARG,LT,CA Huracán,30-337,1992,2.5,2,8,3,375,316,118,025,067,,0,0,Partidas,e5b011c2
234,Paolo Guerrero,pe PER,AT,Racing Club,39-046,1984,0.0,0,0,0,,000,000,,,,0,0,Partidas,ae6657a1
235,Tomás Guidara,ar ARG,ZG,Vélez Sarsf,26-340,1996,2.9,0,0,0,,000,000,,,,0,0,Partidas,14efa370
236,Braian Guille,ar ARG,AT,Tucumán,25-200,1997,0.1,0,0,0,,000,000,,,,0,0,Partidas,154e6469
237,Adrián Guillermo Sánchez,ar ARG,LT,Tucumán,23-278,1999,1.2,0,1,0,00,080,000,000,,,0,0,Partidas,bfb67716
238,Lautaro Guzmán,ar ARG,LT,Arsenal,23-029,2000,2.9,1,6,2,333,207,069,017,050,,0,0,Partidas,1a8ed4a1
239,Gabriel Hauche,ar ARG,AT,Racing Club,36-081,1986,1.1,1,2,1,500,180,090,050,100,,0,0,Partidas,e0abe95e
240,Leonardo Heredia,ar ARG,LT,Argentinos Jun,27-036,1996,0.4,0,0,0,,000,000,,,,0,0,Partidas,45cfa4ba
241,Gastón Hernández,ar ARG,ZG,San Lorenzo,25-028,1998,3.0,0,4,0,00,133,000,000,,,0,0,Partidas,7b33603b
242,Guido Herrera,ar ARG,G,Talleres,30-352,1992,3.0,0,0,0,,000,000,,,,0,0,Partidas,4b9b1f3a
243,José Herrera,ar ARG,AT,Argentinos Jun,17-359,2005,0.1,0,0,0,,000,000,,,,0,0,Partidas,1dcddc4d
244,Marcelo Herrera,ar ARG,ZG,River Plate,24-105,1998,2.4,0,3,0,00,124,000,000,,,0,0,Partidas,460cfb5b
245,Rodrigo Herrera,ar ARG,LT,Barracas Central,22-198,2000,0.5,0,0,0,,000,000,,,,0,0,Partidas,1537c952
246,Ibrahim Hesar,ar ARG,AT,Club Atlético Belgrano,29-093,1993,0.4,0,2,0,00,529,000,000,,,0,0,Partidas,34a98984
247,Santiago Hezze,ar ARG,LT,CA Huracán,21-117,2001,3.0,1,3,1,333,100,033,033,100,,0,0,Partidas,3694fad1
248,Santiago Hidalgo,ar ARG,AT,Independiente,17-364,2005,0.1,0,1,0,00,1500,000,000,,,0,0,Partidas,0448c34f
249,Lucas Hoyos,ar ARG,G,Newell's OB,33-293,1989,3.0,0,0,0,,000,000,,,,0,0,Partidas,848cbc52
250,Joaquín Ibáñez,ar ARG,LT,Colón,26-164,1996,1.3,0,3,0,00,227,000,000,,,0,0,Partidas,9f8f3e36
251,Juan Ignacio Díaz,ar ARG,ZG,Barracas Central,24-266,1998,2.7,0,2,1,500,073,037,000,000,,0,0,Partidas,baa6308e
252,Marcos Ignacio Ledesma,ar ARG,G,CC Córdoba,26-154,1996,3.0,0,0,0,,000,000,,,,0,0,Partidas,97232163
253,Juan Ignacio Méndez,ar ARG,LT,Vélez Sarsf,25-294,1997,2.1,0,1,1,1000,047,047,000,000,,0,0,Partidas,035a3093
254,Juan Infante,ar ARG,ZG,Platense,27-040,1996,3.0,0,1,1,1000,033,033,000,000,,0,0,Partidas,13f61a69
255,Gino Infantino,ar ARG,LT,Rosario Cent,19-273,2003,1.3,0,5,2,400,378,151,000,000,,0,0,Partidas,546c7f68
256,Emanuel Insúa,ar ARG,ZG,Banfield,31-312,1991,3.0,0,4,0,00,133,000,000,,,0,0,Partidas,792c7b94
257,Emiliano Insúa,ar ARG,ZG,Racing Club,34-040,1989,1.0,0,0,0,,000,000,,,,0,0,Partidas,f3cccffe
258,Elian Irala,ar ARG,LT,San Lorenzo,18-225,2004,0.6,0,3,0,00,509,000,000,,,0,0,Partidas,290c4f4a
259,Kevin Isa,ar ARG,AT,Tucumán,21-304,2001,0.0,0,0,0,,000,000,,,,0,0,Partidas,38d98ae3
260,Miguel Jacquet Duarte,py PAR,ZG,Platense,30-272,1992,1.9,0,0,0,,000,000,,,,0,0,Partidas,fa21cfbb
261,Lucas Janson,ar ARG,AT,Vélez Sarsf,28-184,1994,3.0,1,7,4,571,234,134,014,025,,0,0,Partidas,f3f2db7a
262,Franco Jara,ar ARG,AT,Club Atlético Belgrano,34-216,1988,0.0,0,0,0,,000,000,,,,0,0,Partidas,413cce14
263,Leonardo Jara,ar ARG,ZGLT,Vélez Sarsf,31-272,1991,0.2,0,0,0,,000,000,,,,0,0,Partidas,688aaca2
264,Jony,ar ARG,LT,Newell's OB,28-348,1994,1.0,0,1,1,1000,100,100,000,000,,0,0,Partidas,60665492
265,Federico Jourdan,ar ARG,LT,CC Córdoba,32-034,1991,0.6,0,0,0,,000,000,,,,0,0,Partidas,e45dc044
266,Alex Juárez,ar ARG,LT,Barracas Central,18-152,2004,0.1,0,0,0,,000,000,,,,0,0,Partidas,6b002771
267,Daniel Juárez,ar ARG,AT,CA Unión,21-201,2001,1.2,0,4,1,250,330,083,000,000,,0,0,Partidas,5ed601ca
268,Enzo Kalinski,ar ARG,LT,CC Córdoba,35-343,1987,3.0,0,0,0,,000,000,,,,0,0,Partidas,53dab9a5
269,Felicia Karlsson,ar ARG,ZG,Boca Juniors,29-146,1993,1.0,0,1,0,00,100,000,000,,,0,0,Partidas,d8515e04
270,Bautista Kociubinski,ar ARG,LT,Tucumán,21-296,2001,0.2,0,0,0,,000,000,,,,0,0,Partidas,412f2985
271,Luca Langoni,ar ARG,AT,Boca Juniors,21-007,2002,0.7,1,2,1,500,277,138,050,100,,0,0,Partidas,b9532512
272,Federico Lanzillota,ar ARG,G,Argentinos Jun,30-077,1992,3.0,0,0,0,,000,000,,,,0,0,Partidas,c2b0169e
273,Joaquín Laso,ar ARG,ZG,Independiente,32-227,1990,1.1,0,1,0,00,088,000,000,,,0,0,Partidas,3c7a3791
274,Luís Leal,st STP,AT,Arsenal,35-263,1987,1.9,0,4,0,00,216,000,000,,,0,0,Partidas,4b1879cb
275,Ivan Leguizamon,ar ARG,LT,San Lorenzo,20-228,2002,1.4,0,3,1,333,218,073,000,000,,0,0,Partidas,bfdcc1e4
276,Cristian Lema,ar ARG,ZG,Lanús,32-157,1990,2.5,0,1,1,1000,039,039,000,000,,0,0,Partidas,2c20f2fb
277,Nicolás Linares,ar ARG,LT,Instituto Atlético Central Córdoba,26-347,1996,0.5,0,2,0,00,375,000,000,,,0,0,Partidas,dbc15928
278,Francesco Lo Celso,ar ARG,LT,Rosario Cent,22-348,2000,0.2,0,1,1,1000,643,643,000,000,,0,0,Partidas,53ea4157
279,Raúl Loaiza,co COL,LT,Lanús,28-253,1994,2.2,0,1,1,1000,045,045,000,000,,0,0,Partidas,94ec1c0a
280,Gastón Lodico,ar ARG,LT,Instituto Atlético Central Córdoba,24-264,1998,2.7,0,4,0,00,148,000,000,,,0,0,Partidas,0373879c
281,Flabián Londoño,co COL,AT,Arsenal,22-222,2000,0.3,0,0,0,,000,000,,,,0,0,Partidas,c3d3449c
282,Santiago Longo,ar ARG,LT,Club Atlético Belgrano,24-310,1998,3.0,0,4,1,250,133,033,000,000,,0,0,Partidas,9a102b86
283,Julián López,ar ARG,LT,Defensa y Just,23-039,2000,2.5,0,1,0,00,040,000,000,,,0,0,Partidas,698923cf
284,Kevin Lopez,ar ARG,LT,Independiente,21-050,2001,1.6,0,2,0,00,122,000,000,,,0,0,Partidas,5256c4ca
285,Lisandro López,ar ARG,AT,Sarmiento,39-351,1983,2.1,0,2,1,500,096,048,000,000,,0,0,Partidas,bc55bb5a
286,Lucas López,ar ARG,LT,Barracas Central,25-017,1998,0.9,0,1,0,00,113,000,000,,,0,0,Partidas,8ff3152a
287,Nahuel Losada,ar ARG,G,Club Atlético Belgrano,29-305,1993,3.0,0,0,0,,000,000,,,,0,0,Partidas,f07d5b4d
288,Brian Luciatti,ar ARG,ZG,Tigre,29-335,1993,3.0,0,2,0,00,067,000,000,,,0,0,Partidas,ba0f7e5f
289,Gonzalo Luján,ar ARG,LT,San Lorenzo,21-295,2001,2.8,0,1,0,00,036,000,000,,,0,0,Partidas,209aad11
290,Mauro Luna Diale,ar ARG,LTAT,CA Unión,23-296,1999,2.5,0,6,3,500,242,121,000,000,,0,0,Partidas,19d9859a
